Age,Height,Weight,Team,Year,City,Event,Medal
23.0,170.0,63.0,Romania,2016,Rio de Janeiro,Gymnastics Men's Individual All-Around,---
23.0,167.0,58.0,Ukraine,2004,Athina,Gymnastics Men's Individual All-Around,---
30.0,167.0,65.0,Germany,1960,Roma,Gymnastics Men's Individual All-Around,---
19.0,166.0,67.0,Russia,2016,Rio de Janeiro,Gymnastics Men's Individual All-Around,---
20.0,171.0,61.0,Ecuador,1968,Mexico City,Gymnastics Men's Individual All-Around,---
21.0,163.0,58.0,Japan,2004,Athina,Gymnastics Men's Individual All-Around,---
25.0,165.0,64.0,Japan,2008,Beijing,Gymnastics Men's Individual All-Around,---
25.0,163.0,59.0,Japan,1968,Mexico City,Gymnastics Men's Individual All-Around,Bronze
29.0,163.0,59.0,Japan,1972,Munich,Gymnastics Men's Individual All-Around,Bronze
20.0,168.0,64.0,South Korea,1984,Los Angeles,Gymnastics Men's Individual All-Around,---
20.0,150.0,54.0,Cuba,1968,Mexico City,Gymnastics Men's Individual All-Around,---
21.0,180.0,70.0,Great Britain,1976,Montreal,Gymnastics Men's Individual All-Around,---
21.0,160.0,60.0,Romania,1984,Los Angeles,Gymnastics Men's Individual All-Around,---
25.0,166.0,66.0,Czechoslovakia,1972,Munich,Gymnastics Men's Individual All-Around,---
29.0,166.0,66.0,Czechoslovakia,1976,Montreal,Gymnastics Men's Individual All-Around,---
20.0,174.0,75.0,Russia,1996,Atlanta,Gymnastics Men's Individual All-Around,Silver
24.0,174.0,75.0,Russia,2000,Sydney,Gymnastics Men's Individual All-Around,Gold
28.0,174.0,75.0,Russia,2004,Athina,Gymnastics Men's Individual All-Around,---
22.0,172.0,63.0,Czechoslovakia,1968,Mexico City,Gymnastics Men's Individual All-Around,---
26.0,172.0,63.0,Czechoslovakia,1972,Munich,Gymnastics Men's Individual All-Around,---
30.0,172.0,63.0,Czechoslovakia,1976,Montreal,Gymnastics Men's Individual All-Around,---
19.0,165.0,65.0,Malaysia,2004,Athina,Gymnastics Men's Individual All-Around,---
20.0,165.0,55.0,Germany,2008,Beijing,Gymnastics Men's Individual All-Around,---
24.0,165.0,55.0,Germany,2012,London,Gymnastics Men's Individual All-Around,Silver
28.0,165.0,55.0,Germany,2016,Rio de Janeiro,Gymnastics Men's Individual All-Around,---
21.0,168.0,57.0,France,1996,Atlanta,Gymnastics Men's Individual All-Around,---
25.0,171.0,67.0,Denmark,1968,Mexico City,Gymnastics Men's Individual All-Around,---
24.0,163.0,60.0,Germany,1996,Atlanta,Gymnastics Men's Individual All-Around,---
28.0,163.0,60.0,Germany,2000,Sydney,Gymnastics Men's Individual All-Around,---
19.0,175.0,65.0,East Germany,1976,Montreal,Gymnastics Men's Individual All-Around,---
23.0,175.0,65.0,East Germany,1980,Moskva,Gymnastics Men's Individual All-Around,---
18.0,163.0,58.0,Japan,1988,Seoul,Gymnastics Men's Individual All-Around,---
22.0,163.0,58.0,Japan,1992,Barcelona,Gymnastics Men's Individual All-Around,---
21.0,170.0,63.5,Finland,1968,Mexico City,Gymnastics Men's Individual All-Around,---
25.0,170.0,63.5,Finland,1972,Munich,Gymnastics Men's Individual All-Around,---
20.0,160.0,60.0,Canada,1988,Seoul,Gymnastics Men's Individual All-Around,---
24.0,160.0,60.0,Canada,1992,Barcelona,Gymnastics Men's Individual All-Around,---
28.0,160.0,60.0,Canada,1996,Atlanta,Gymnastics Men's Individual All-Around,---
21.0,171.0,64.0,Germany,2000,Sydney,Gymnastics Men's Individual All-Around,---
25.0,160.0,57.0,Great Britain,1972,Munich,Gymnastics Men's Individual All-Around,---
18.0,161.0,58.0,Soviet Union,1988,Seoul,Gymnastics Men's Individual All-Around,---
25.0,167.0,65.0,Canada,1984,Los Angeles,Gymnastics Men's Individual All-Around,---
20.0,168.0,58.0,Finland,1928,Amsterdam,Gymnastics Men's Individual All-Around,---
24.0,168.0,58.0,Finland,1932,Los Angeles,Gymnastics Men's Individual All-Around,---
28.0,168.0,58.0,Finland,1936,Berlin,Gymnastics Men's Individual All-Around,---
22.0,172.0,63.0,Australia,1980,Moskva,Gymnastics Men's Individual All-Around,---
25.0,173.0,66.0,Germany,1996,Atlanta,Gymnastics Men's Individual All-Around,---
24.0,156.0,54.0,Japan,1972,Munich,Gymnastics Men's Individual All-Around,---
22.0,161.0,57.0,Japan,2008,Beijing,Gymnastics Men's Individual All-Around,---
29.0,168.0,67.0,Finland,1960,Roma,Gymnastics Men's Individual All-Around,---
23.0,160.0,56.0,Canada,2008,Beijing,Gymnastics Men's Individual All-Around,---
20.0,160.0,58.0,Japan,1952,Helsinki,Gymnastics Men's Individual All-Around,---
25.0,160.0,58.0,Japan,1956,Melbourne,Gymnastics Men's Individual All-Around,Silver
29.0,160.0,58.0,Japan,1960,Roma,Gymnastics Men's Individual All-Around,Silver
33.0,160.0,58.0,Japan,1964,Tokyo,Gymnastics Men's Individual All-Around,---
19.0,171.0,67.0,Romania,1972,Munich,Gymnastics Men's Individual All-Around,---
23.0,171.0,67.0,Romania,1976,Montreal,Gymnastics Men's Individual All-Around,---
27.0,171.0,67.0,Romania,1980,Moskva,Gymnastics Men's Individual All-Around,---
25.0,173.0,61.0,United States,1960,Roma,Gymnastics Men's Individual All-Around,---
22.0,170.0,66.0,Romania,1952,Helsinki,Gymnastics Men's Individual All-Around,---
34.0,170.0,66.0,Romania,1964,Tokyo,Gymnastics Men's Individual All-Around,---
23.0,173.0,61.0,United States,1960,Roma,Gymnastics Men's Individual All-Around,---
19.0,165.0,73.0,United States,2012,London,Gymnastics Men's Individual All-Around,---
23.0,170.0,65.0,Romania,2000,Sydney,Gymnastics Men's Individual All-Around,---
27.0,165.0,61.0,Cuba,1964,Tokyo,Gymnastics Men's Individual All-Around,---
20.0,163.0,56.0,North Korea,1992,Barcelona,Gymnastics Men's Individual All-Around,---
24.0,163.0,56.0,North Korea,1996,Atlanta,Gymnastics Men's Individual All-Around,---
28.0,163.0,56.0,North Korea,2000,Sydney,Gymnastics Men's Individual All-Around,---
23.0,169.0,68.0,East Germany,1972,Munich,Gymnastics Men's Individual All-Around,---
23.0,176.0,70.0,Luxembourg,2008,Beijing,Gymnastics Men's Individual All-Around,---
27.0,168.0,64.0,Great Britain,1960,Roma,Gymnastics Men's Individual All-Around,---
31.0,168.0,64.0,Great Britain,1964,Tokyo,Gymnastics Men's Individual All-Around,---
21.0,184.0,74.0,Hungary,1992,Barcelona,Gymnastics Men's Individual All-Around,---
28.0,177.0,69.0,Hungary,1988,Seoul,Gymnastics Men's Individual All-Around,---
23.0,166.0,61.0,South Korea,1988,Seoul,Gymnastics Men's Individual All-Around,---
21.0,164.0,58.0,South Korea,2016,Rio de Janeiro,Gymnastics Men's Individual All-Around,---
23.0,152.0,49.0,Philippines,1964,Tokyo,Gymnastics Men's Individual All-Around,---
22.0,177.0,72.0,South Africa,2016,Rio de Janeiro,Gymnastics Men's Individual All-Around,---
24.0,173.0,65.0,Romania,1972,Munich,Gymnastics Men's Individual All-Around,---
19.0,166.0,60.0,Belarus,1996,Atlanta,Gymnastics Men's Individual All-Around,---
23.0,166.0,60.0,Belarus,2000,Sydney,Gymnastics Men's Individual All-Around,---
24.0,173.0,64.0,Azerbaijan,2016,Rio de Janeiro,Gymnastics Men's Individual All-Around,---
24.0,160.0,60.0,Philippines,1964,Tokyo,Gymnastics Men's Individual All-Around,---
23.0,168.0,64.0,Czechoslovakia,1960,Roma,Gymnastics Men's Individual All-Around,---
27.0,168.0,64.0,Czechoslovakia,1964,Tokyo,Gymnastics Men's Individual All-Around,---
23.0,168.0,64.0,France,1988,Seoul,Gymnastics Men's Individual All-Around,---
21.0,175.0,71.0,Germany,1900,Paris,Gymnastics Men's Individual All-Around,---
25.0,175.0,71.0,Germany,1904,St. Louis,Gymnastics Men's Individual All-Around,---
22.0,167.0,62.0,Ukraine,2000,Sydney,Gymnastics Men's Individual All-Around,---
23.0,170.0,67.0,Romania,2000,Sydney,Gymnastics Men's Individual All-Around,---
21.0,177.0,71.0,Canada,1984,Los Angeles,Gymnastics Men's Individual All-Around,---
25.0,177.0,71.0,Canada,1988,Seoul,Gymnastics Men's Individual All-Around,---
20.0,167.0,61.0,Bulgaria,1980,Moskva,Gymnastics Men's Individual All-Around,---
20.0,167.0,61.0,Bulgaria,1980,Moskva,Gymnastics Men's Individual All-Around,---
23.0,167.0,65.0,Slovenia,2000,Sydney,Gymnastics Men's Individual All-Around,---
31.0,167.0,65.0,Slovenia,2008,Beijing,Gymnastics Men's Individual All-Around,---
21.0,173.0,65.0,Romania,1972,Munich,Gymnastics Men's Individual All-Around,---
24.0,166.0,67.0,Yugoslavia,1960,Roma,Gymnastics Men's Individual All-Around,---
28.0,166.0,67.0,Yugoslavia,1964,Tokyo,Gymnastics Men's Individual All-Around,---
23.0,169.0,58.0,Germany,2000,Sydney,Gymnastics Men's Individual All-Around,---
27.0,169.0,58.0,Germany,2004,Athina,Gymnastics Men's Individual All-Around,---
22.0,178.0,76.0,New Zealand,2000,Sydney,Gymnastics Men's Individual All-Around,---
25.0,170.0,66.0,Switzerland,1984,Los Angeles,Gymnastics Men's Individual All-Around,---
24.0,170.0,68.0,Poland,1976,Montreal,Gymnastics Men's Individual All-Around,---
20.0,158.0,52.0,Mexico,1984,Los Angeles,Gymnastics Men's Individual All-Around,---
24.0,158.0,52.0,Mexico,1988,Seoul,Gymnastics Men's Individual All-Around,---
