Age,Height,Weight,Team,Year,City,Event,Medal
21.0,177.0,60.0,Slovakia,2000,Sydney,Tennis Women's Singles,---
19.0,160.0,55.0,Slovakia,2008,Beijing,Tennis Women's Singles,---
23.0,160.0,55.0,Slovakia,2012,London,Tennis Women's Singles,---
22.0,175.0,65.0,Canada,1996,Atlanta,Tennis Women's Singles,---
28.0,168.0,63.0,Romania,2016,Rio de Janeiro,Tennis Women's Singles,---
19.0,175.0,63.0,Czechoslovakia,1988,Seoul,Tennis Women's Singles,---
23.0,175.0,63.0,Czechoslovakia,1992,Barcelona,Tennis Women's Singles,---
27.0,175.0,63.0,Czech Republic,1996,Atlanta,Tennis Women's Singles,Bronze
23.0,173.0,60.0,Poland,1992,Barcelona,Tennis Women's Singles,---
26.0,167.0,56.0,Japan,2004,Athina,Tennis Women's Singles,---
35.0,172.0,58.0,Israel,2008,Beijing,Tennis Women's Singles,---
23.0,160.0,48.0,Japan,1988,Seoul,Tennis Women's Singles,---
18.0,165.0,56.0,Poland,1996,Atlanta,Tennis Women's Singles,---
28.0,169.0,65.0,Netherlands,2000,Sydney,Tennis Women's Singles,---
19.0,177.0,68.0,Latvia,2016,Rio de Janeiro,Tennis Women's Singles,---
20.0,166.0,50.0,Bulgaria,1992,Barcelona,Tennis Women's Singles,---
