Age,Height,Weight,Team,Year,City,Event,Medal
21.0,188.0,80.0,Great Britain,2016,Rio de Janeiro,Tennis Men's Singles,---
20.0,190.0,75.0,Morocco,1992,Barcelona,Tennis Men's Singles,---
32.0,190.0,75.0,Morocco,2004,Athina,Tennis Men's Singles,---
25.0,183.0,76.0,Portugal,2016,Rio de Janeiro,Tennis Men's Singles,---
25.0,189.0,78.0,Netherlands,1996,Atlanta,Tennis Men's Singles,---
22.0,191.0,87.0,Sweden,1996,Atlanta,Tennis Men's Singles,---
30.0,191.0,87.0,Sweden,2004,Athina,Tennis Men's Singles,---
24.0,185.0,70.0,France,2000,Sydney,Tennis Men's Singles,---
36.0,173.0,77.0,Dominican Republic,2016,Rio de Janeiro,Tennis Men's Singles,---
21.0,185.0,81.0,Argentina,1996,Atlanta,Tennis Men's Singles,---
26.0,175.0,70.0,New Zealand,1988,Seoul,Tennis Men's Singles,---
27.0,173.0,70.0,Italy,2016,Rio de Janeiro,Tennis Men's Singles,---
28.0,181.0,82.0,Colombia,2012,London,Tennis Men's Singles,---
19.0,185.0,80.0,Switzerland,2000,Sydney,Tennis Men's Singles,---
23.0,185.0,80.0,Switzerland,2004,Athina,Tennis Men's Singles,---
26.0,185.0,80.0,Switzerland,2008,Beijing,Tennis Men's Singles,---
30.0,185.0,80.0,Switzerland,2012,London,Tennis Men's Singles,Silver
20.0,185.0,85.0,South Africa,1992,Barcelona,Tennis Men's Singles,---
24.0,185.0,85.0,South Africa,1996,Atlanta,Tennis Men's Singles,---
28.0,185.0,85.0,South Africa,2000,Sydney,Tennis Men's Singles,---
26.0,175.0,73.0,Spain,2008,Beijing,Tennis Men's Singles,---
30.0,175.0,73.0,Spain,2012,London,Tennis Men's Singles,---
34.0,175.0,73.0,Spain,2016,Rio de Janeiro,Tennis Men's Singles,---
20.0,185.0,75.0,Spain,2000,Sydney,Tennis Men's Singles,---
24.0,185.0,75.0,Spain,2004,Athina,Tennis Men's Singles,---
26.0,191.0,78.0,Denmark,1996,Atlanta,Tennis Men's Singles,---
28.0,178.0,65.0,Uruguay,1996,Atlanta,Tennis Men's Singles,---
22.0,187.0,81.0,United States,2004,Athina,Tennis Men's Singles,Silver
