Age,Height,Weight,Team,Year,City,Event,Medal
22.0,155.0,47.0,Venezuela,2008,Beijing,Gymnastics Women's Individual All-Around,---
26.0,155.0,47.0,Venezuela,2012,London,Gymnastics Women's Individual All-Around,---
30.0,155.0,47.0,Venezuela,2016,Rio de Janeiro,Gymnastics Women's Individual All-Around,---
15.0,145.0,32.0,Venezuela,2000,Sydney,Gymnastics Women's Individual All-Around,---
16.0,157.0,44.0,Hungary,1976,Montreal,Gymnastics Women's Individual All-Around,---
15.0,142.0,36.0,Canada,1988,Seoul,Gymnastics Women's Individual All-Around,---
15.0,136.0,30.0,China,1992,Barcelona,Gymnastics Women's Individual All-Around,---
16.0,158.0,52.0,Poland,1972,Munich,Gymnastics Women's Individual All-Around,---
17.0,165.0,50.0,Italy,1988,Seoul,Gymnastics Women's Individual All-Around,---
17.0,166.0,58.0,Sweden,1964,Tokyo,Gymnastics Women's Individual All-Around,---
21.0,166.0,58.0,Sweden,1968,Mexico City,Gymnastics Women's Individual All-Around,---
25.0,166.0,58.0,Sweden,1972,Munich,Gymnastics Women's Individual All-Around,---
16.0,144.0,33.0,Russia,1996,Atlanta,Gymnastics Women's Individual All-Around,---
17.0,159.0,48.0,Australia,1976,Montreal,Gymnastics Women's Individual All-Around,---
21.0,156.0,50.0,Soviet Union,1960,Roma,Gymnastics Women's Individual All-Around,---
25.0,156.0,50.0,Soviet Union,1964,Tokyo,Gymnastics Women's Individual All-Around,---
21.0,157.0,44.0,China,1984,Los Angeles,Gymnastics Women's Individual All-Around,---
17.0,152.0,48.0,China,1988,Seoul,Gymnastics Women's Individual All-Around,---
18.0,158.0,52.0,Italy,1968,Mexico City,Gymnastics Women's Individual All-Around,---
16.0,150.0,40.0,Canada,1996,Atlanta,Gymnastics Women's Individual All-Around,---
16.0,152.0,42.0,France,1992,Barcelona,Gymnastics Women's Individual All-Around,---
15.0,149.0,38.0,Canada,2004,Athina,Gymnastics Women's Individual All-Around,---
17.0,157.0,47.0,Italy,2008,Beijing,Gymnastics Women's Individual All-Around,---
27.0,156.0,48.0,Mexico,2004,Athina,Gymnastics Women's Individual All-Around,---
20.0,153.0,44.0,Philippines,1964,Tokyo,Gymnastics Women's Individual All-Around,---
17.0,154.0,45.0,France,1992,Barcelona,Gymnastics Women's Individual All-Around,---
21.0,165.0,61.0,Netherlands,1960,Roma,Gymnastics Women's Individual All-Around,---
15.0,143.0,34.0,Poland,1980,Moskva,Gymnastics Women's Individual All-Around,---
24.0,153.0,49.0,Hungary,1964,Tokyo,Gymnastics Women's Individual All-Around,---
19.0,168.0,54.0,Hungary,1964,Tokyo,Gymnastics Women's Individual All-Around,---
23.0,168.0,54.0,Hungary,1968,Mexico City,Gymnastics Women's Individual All-Around,---
24.0,155.0,46.0,Israel,2012,London,Gymnastics Women's Individual All-Around,---
18.0,163.0,64.0,France,2012,London,Gymnastics Women's Individual All-Around,---
19.0,152.0,46.0,United States,2000,Sydney,Gymnastics Women's Individual All-Around,---
15.0,153.0,44.0,Greece,1996,Atlanta,Gymnastics Women's Individual All-Around,---
16.0,160.0,52.0,Italy,1972,Munich,Gymnastics Women's Individual All-Around,---
22.0,162.0,56.0,Soviet Union,1956,Melbourne,Gymnastics Women's Individual All-Around,---
30.0,162.0,56.0,Soviet Union,1964,Tokyo,Gymnastics Women's Individual All-Around,---
24.0,161.0,56.0,Germany,1964,Tokyo,Gymnastics Women's Individual All-Around,---
19.0,153.0,42.0,Japan,1976,Montreal,Gymnastics Women's Individual All-Around,---
18.0,132.0,31.0,Spain,1984,Los Angeles,Gymnastics Women's Individual All-Around,---
16.0,145.0,36.0,China,1996,Atlanta,Gymnastics Women's Individual All-Around,---
17.0,164.0,47.0,Belarus,2008,Beijing,Gymnastics Women's Individual All-Around,---
16.0,157.0,46.0,Italy,1972,Munich,Gymnastics Women's Individual All-Around,---
22.0,162.0,55.0,Poland,1952,Helsinki,Gymnastics Women's Individual All-Around,---
14.0,156.0,46.0,Spain,1976,Montreal,Gymnastics Women's Individual All-Around,---
16.0,142.0,40.0,Czechoslovakia,1980,Moskva,Gymnastics Women's Individual All-Around,---
16.0,161.0,49.0,Czech Republic,2000,Sydney,Gymnastics Women's Individual All-Around,---
20.0,162.0,61.0,Romania,1956,Melbourne,Gymnastics Women's Individual All-Around,---
23.0,162.0,61.0,Romania,1960,Roma,Gymnastics Women's Individual All-Around,---
15.0,142.0,40.0,Greece,1996,Atlanta,Gymnastics Women's Individual All-Around,---
15.0,146.0,40.0,Romania,1996,Atlanta,Gymnastics Women's Individual All-Around,---
15.0,155.0,38.0,Bulgaria,1980,Moskva,Gymnastics Women's Individual All-Around,---
